baling_id,date,user_id,material_type,baled_qty,status
1,2023-02-20 00:00:00,93,Plastic,260.676,Pending
2,2023-06-03 00:00:00,59,Plastic,312.282,Completed
3,2024-03-26 00:00:00,100,Plastic,60.984,Rejected
4,2023-07-22 00:00:00,63,Plastic,319.392,Rejected
5,2023-05-23 00:00:00,26,Plastic,361.035,Completed
6,2023-11-18 00:00:00,44,Metal,64.449,Rejected
7,2023-01-23 00:00:00,15,Paper,100.476,Pending
8,2023-10-08 00:00:00,74,Glass,154.935,Completed
9,2023-04-04 00:00:00,43,Organic,423.405,Completed
10,2024-03-04 00:00:00,28,Paper,295.803,Rejected
11,2023-02-08 00:00:00,68,Metal,218.925,Completed
12,2023-11-30 00:00:00,67,Plastic,335.052,Pending
13,2023-11-03 00:00:00,9,Metal,144.189,Completed
14,2023-04-03 00:00:00,83,Paper,77.04,Rejected
15,2023-02-26 00:00:00,30,Metal,195.696,Completed
16,2023-08-25 00:00:00,99,Glass,367.38,Completed
17,2024-03-06 00:00:00,57,Metal,58.635,Rejected
18,2023-01-20 00:00:00,6,Organic,311.976,Pending
19,2024-01-11 00:00:00,66,Glass,369.243,Completed
20,2023-06-07 00:00:00,94,Metal,78.444,Pending
21,2023-09-14 00:00:00,85,Paper,360.999,Pending
22,2024-03-09 00:00:00,57,Plastic,174.573,Completed
23,2023-12-12 00:00:00,49,Plastic,19.314,Rejected
24,2024-03-16 00:00:00,60,Organic,272.133,Completed
25,2024-03-09 00:00:00,36,Paper,351.612,Pending
26,2023-06-13 00:00:00,89,Plastic,350.883,Pending
27,2023-08-16 00:00:00,87,Metal,443.583,Rejected
28,2023-12-21 00:00:00,90,Metal,212.274,Rejected
29,2023-01-10 00:00:00,33,Plastic,350.433,Pending
30,2023-12-09 00:00:00,38,Paper,213.03,Rejected
31,2023-05-03 00:00:00,64,Glass,295.569,Completed
32,2023-07-01 00:00:00,40,Glass,115.281,Pending
33,2023-05-10 00:00:00,86,Paper,331.74,Completed
34,2023-09-08 00:00:00,52,Plastic,171.936,Pending
35,2023-01-24 00:00:00,83,Metal,431.622,Completed
36,2024-02-06 00:00:00,9,Metal,200.448,Rejected
37,2023-05-05 00:00:00,5,Plastic,78.759,Rejected
38,2023-07-19 00:00:00,19,Glass,395.937,Pending
39,2024-03-06 00:00:00,6,Glass,55.188,Pending
40,2023-12-17 00:00:00,32,Paper,390.753,Rejected
41,2023-11-23 00:00:00,88,Paper,158.22,Pending
42,2023-01-04 00:00:00,30,Plastic,17.856,Rejected
43,2024-03-18 00:00:00,35,Glass,430.272,Rejected
44,2023-07-11 00:00:00,51,Organic,290.961,Rejected
45,2023-08-09 00:00:00,39,Glass,58.275,Pending
46,2023-06-04 00:00:00,70,Organic,277.938,Rejected
47,2023-01-27 00:00:00,70,Plastic,380.196,Completed
48,2023-04-09 00:00:00,45,Plastic,383.103,Rejected
49,2023-08-07 00:00:00,70,Metal,374.301,Completed
50,2023-06-21 00:00:00,91,Paper,85.986,Rejected
51,2023-08-03 00:00:00,51,Glass,50.409,Pending
52,2023-03-18 00:00:00,73,Plastic,323.064,Pending
53,2024-02-05 00:00:00,44,Metal,316.215,Pending
54,2023-06-15 00:00:00,23,Metal,374.328,Pending
55,2023-12-17 00:00:00,42,Paper,240.39,Rejected
56,2023-01-22 00:00:00,96,Plastic,252.432,Pending
57,2023-01-22 00:00:00,33,Organic,204.768,Pending
58,2023-07-10 00:00:00,35,Glass,111.366,Completed
59,2024-02-28 00:00:00,59,Glass,352.179,Completed
60,2023-09-29 00:00:00,49,Organic,236.979,Completed
61,2024-01-02 00:00:00,94,Paper,161.676,Completed
62,2023-06-08 00:00:00,97,Metal,349.506,Completed
63,2023-02-22 00:00:00,8,Organic,242.082,Completed
64,2023-04-09 00:00:00,20,Plastic,23.697,Rejected
65,2023-12-05 00:00:00,11,Metal,219.474,Completed
66,2023-05-17 00:00:00,12,Paper,145.233,Completed
67,2023-04-14 00:00:00,12,Paper,430.083,Pending
68,2024-02-13 00:00:00,84,Metal,35.136,Completed
69,2024-01-14 00:00:00,97,Glass,320.679,Rejected
70,2024-01-17 00:00:00,19,Plastic,57.015,Completed
71,2023-03-18 00:00:00,58,Metal,362.637,Rejected
72,2023-07-18 00:00:00,74,Organic,304.119,Completed
