module,user_id,completion_percentage,last_updated,compliance_score
dispatch,19,76.73,2023-07-04 00:00:00,74.83
dispatch,30,83.14,2023-09-06 00:00:00,70.32
segregation,11,67.2,2023-11-15 00:00:00,74.13
segregation,41,71.66,2023-05-13 00:00:00,91.66
segregation,11,58.11,2023-06-10 00:00:00,75.17
baling,27,58.89,2023-12-12 00:00:00,96.08
segregation,55,71.06,2023-04-10 00:00:00,70.9
baling,1,50.94,2023-11-25 00:00:00,78.45
dispatch,57,83.98,2024-03-22 00:00:00,83.97
inward,97,92.93,2023-01-13 00:00:00,94.76
dispatch,56,69.83,2023-06-23 00:00:00,97.33
dispatch,48,63.3,2023-01-16 00:00:00,94.66
baling,76,75.88,2023-08-18 00:00:00,98.65
inward,52,72.02,2023-10-04 00:00:00,80.92
inward,35,73.67,2023-10-04 00:00:00,87.11
baling,2,76.31,2024-02-08 00:00:00,89.22
inward,86,89.21,2023-10-04 00:00:00,83.79
baling,69,51.8,2023-03-31 00:00:00,77.55
baling,60,86.56,2023-06-15 00:00:00,77.17
baling,12,52.79,2023-07-25 00:00:00,88.5
dispatch,38,91.65,2023-09-16 00:00:00,93.41
segregation,15,95.57,2023-01-28 00:00:00,95.81
segregation,95,53.51,2023-03-06 00:00:00,81.02
dispatch,10,79.57,2023-10-26 00:00:00,88.57
segregation,76,82.46,2024-02-21 00:00:00,85.82
baling,7,99.81,2023-07-29 00:00:00,88.21
inward,59,63.07,2023-03-07 00:00:00,73.22
segregation,1,63.21,2024-02-08 00:00:00,94.34
inward,82,90.31,2023-08-27 00:00:00,91.49
baling,83,76.62,2023-02-22 00:00:00,95.82
baling,95,52.84,2023-04-19 00:00:00,83.63
dispatch,100,82.99,2023-04-04 00:00:00,77.8
dispatch,30,56.09,2024-01-15 00:00:00,87.72
baling,92,85.95,2024-02-19 00:00:00,90.86
inward,24,99.37,2023-04-18 00:00:00,76.01
dispatch,84,83.2,2023-08-02 00:00:00,91.57
baling,19,81.52,2023-12-04 00:00:00,70.72
segregation,23,93.8,2023-09-20 00:00:00,93.47
baling,82,83.46,2023-09-21 00:00:00,83.04
dispatch,90,86.42,2023-09-12 00:00:00,86.84
baling,13,64.64,2023-01-28 00:00:00,82.69
inward,79,66.55,2023-08-30 00:00:00,96.24
dispatch,10,59.85,2023-02-23 00:00:00,83.37
dispatch,51,59.3,2023-09-24 00:00:00,97.41
segregation,20,78.92,2023-07-04 00:00:00,86.25
inward,100,96.67,2023-05-06 00:00:00,90.52
dispatch,38,78.4,2023-04-29 00:00:00,87.81
segregation,83,52.88,2023-02-23 00:00:00,78.02
dispatch,76,98.83,2024-03-09 00:00:00,88.46
inward,82,59.94,2023-08-09 00:00:00,85.89
segregation,17,63.82,2023-01-23 00:00:00,93.37
segregation,46,90.61,2023-05-28 00:00:00,88.35
segregation,8,53.34,2023-10-10 00:00:00,74.77
dispatch,73,75.32,2023-10-28 00:00:00,85.75
baling,49,97.64,2023-10-07 00:00:00,73.25
baling,92,62.64,2023-01-31 00:00:00,92.3
dispatch,96,63.41,2024-01-26 00:00:00,81.04
segregation,28,50.56,2023-07-29 00:00:00,82.29
dispatch,56,80.3,2023-12-29 00:00:00,93.02
baling,76,58.7,2023-04-17 00:00:00,86.56
segregation,47,56.55,2023-04-30 00:00:00,79.37
baling,84,75.62,2023-12-14 00:00:00,99.32
baling,43,52.59,2024-01-25 00:00:00,90.92
dispatch,87,83.47,2023-11-11 00:00:00,71.82
baling,17,83.27,2023-04-08 00:00:00,79.63
dispatch,29,79.83,2023-12-12 00:00:00,81.85
inward,51,68.38,2023-01-13 00:00:00,86.1
dispatch,3,87.46,2024-02-10 00:00:00,74.44
dispatch,60,98.94,2023-06-14 00:00:00,88.78
dispatch,11,89.89,2023-06-15 00:00:00,85.8
baling,40,89.88,2023-08-21 00:00:00,82.57
inward,40,63.33,2024-02-24 00:00:00,76.53
dispatch,43,75.39,2023-09-25 00:00:00,89.76
baling,35,56.76,2023-05-14 00:00:00,71.93
segregation,8,80.65,2024-02-08 00:00:00,92.38
baling,55,80.58,2023-12-06 00:00:00,89.98
baling,64,59.29,2023-10-09 00:00:00,85.95
baling,90,76.75,2023-10-13 00:00:00,89.04
baling,35,70.86,2023-07-11 00:00:00,91.39
baling,25,79.97,2023-02-14 00:00:00,73.87
segregation,13,53.06,2023-12-18 00:00:00,99.41
dispatch,55,90.62,2024-02-23 00:00:00,71.66
inward,10,88.26,2024-01-22 00:00:00,97.49
dispatch,77,78.59,2023-02-11 00:00:00,73.56
baling,59,79.16,2024-01-17 00:00:00,81.5
