dispatch_id,date,user_id,material_type,dispatched_qty,destination,status
1,2023-05-17 00:00:00,22,Metal,208.21,Location_18,Pending
2,2023-07-04 00:00:00,43,Metal,221.12,Location_12,Pending
3,2023-06-15 00:00:00,59,Paper,333.97,Location_5,Completed
4,2023-03-24 00:00:00,46,Glass,365.82,Location_3,Rejected
5,2023-07-23 00:00:00,68,Metal,31.45,Location_19,Pending
6,2023-06-30 00:00:00,21,Metal,252.58,Location_13,Rejected
7,2023-03-04 00:00:00,93,Metal,350.34,Location_8,Completed
8,2023-06-07 00:00:00,88,Plastic,217.59,Location_8,Pending
9,2024-01-27 00:00:00,60,Organic,271.57,Location_5,Completed
10,2024-02-18 00:00:00,44,Glass,151.26,Location_18,Rejected
11,2024-03-05 00:00:00,8,Organic,64.32,Location_5,Rejected
12,2024-02-26 00:00:00,85,Glass,440,Location_10,Pending
13,2023-07-02 00:00:00,3,Plastic,16.39,Location_2,Rejected
14,2024-03-13 00:00:00,70,Organic,381.22,Location_18,Completed
15,2024-03-07 00:00:00,34,Metal,193.43,Location_18,Pending
16,2023-07-28 00:00:00,93,Metal,34.83,Location_5,Completed
17,2023-06-02 00:00:00,18,Glass,44.42,Location_10,Pending
18,2023-11-10 00:00:00,65,Plastic,105.94,Location_10,Pending
19,2023-10-06 00:00:00,82,Metal,382.67,Location_9,Completed
20,2023-11-11 00:00:00,61,Paper,11.4,Location_19,Completed
21,2023-02-16 00:00:00,49,Organic,484.41,Location_5,Completed
22,2023-03-21 00:00:00,23,Plastic,269.57,Location_13,Pending
23,2023-12-20 00:00:00,90,Organic,262.56,Location_7,Rejected
24,2023-08-17 00:00:00,16,Metal,291.97,Location_9,Completed
25,2023-09-04 00:00:00,78,Paper,118.43,Location_1,Rejected
26,2023-11-21 00:00:00,76,Glass,241.05,Location_1,Pending
27,2023-08-13 00:00:00,16,Paper,381.81,Location_19,Pending
28,2023-11-30 00:00:00,37,Organic,404.37,Location_13,Rejected
29,2024-02-21 00:00:00,7,Metal,480.33,Location_18,Completed
30,2023-01-27 00:00:00,32,Paper,342.85,Location_7,Completed
31,2023-09-05 00:00:00,100,Glass,37.23,Location_5,Completed
32,2023-12-11 00:00:00,72,Organic,372.19,Location_3,Pending
33,2023-06-08 00:00:00,36,Plastic,107.86,Location_5,Pending
34,2023-01-10 00:00:00,79,Plastic,159.11,Location_16,Rejected
35,2023-09-10 00:00:00,75,Metal,294.09,Location_1,Completed
36,2023-11-29 00:00:00,90,Plastic,124.2,Location_5,Pending
37,2023-10-23 00:00:00,25,Metal,316.82,Location_7,Completed
38,2023-01-06 00:00:00,92,Plastic,281.66,Location_7,Completed
39,2023-04-11 00:00:00,74,Plastic,362.76,Location_7,Rejected
40,2023-04-20 00:00:00,90,Glass,279.4,Location_7,Rejected
41,2024-01-13 00:00:00,60,Paper,268.32,Location_5,Rejected
42,2023-11-21 00:00:00,95,Paper,171.91,Location_16,Pending
43,2023-12-05 00:00:00,16,Paper,177.78,Location_10,Completed
44,2024-01-29 00:00:00,41,Organic,485.75,Location_2,Pending
45,2023-03-15 00:00:00,66,Metal,467.74,Location_18,Completed
46,2023-10-10 00:00:00,24,Metal,169.66,Location_17,Rejected
47,2023-02-09 00:00:00,61,Organic,95.3,Location_18,Rejected
48,2023-04-23 00:00:00,99,Glass,370.2,Location_8,Pending
49,2023-11-12 00:00:00,78,Plastic,492.45,Location_4,Rejected
50,2023-03-30 00:00:00,56,Metal,119.11,Location_10,Pending
51,2024-02-02 00:00:00,55,Organic,223.22,Location_2,Completed
52,2023-09-07 00:00:00,19,Organic,43.32,Location_6,Completed
53,2024-02-12 00:00:00,92,Glass,244.02,Location_3,Completed
54,2024-01-10 00:00:00,93,Glass,362.82,Location_3,Rejected
55,2023-02-22 00:00:00,16,Organic,136.53,Location_1,Rejected
56,2023-09-12 00:00:00,94,Glass,418.33,Location_1,Pending
57,2023-01-08 00:00:00,61,Metal,359.28,Location_14,Completed
58,2023-08-07 00:00:00,56,Metal,133.14,Location_7,Rejected
59,2024-01-11 00:00:00,6,Organic,30.28,Location_14,Pending
60,2023-08-29 00:00:00,95,Plastic,495.44,Location_15,Pending
61,2023-04-01 00:00:00,32,Paper,369.49,Location_11,Completed
62,2023-06-25 00:00:00,63,Metal,188.03,Location_12,Rejected
63,2023-08-28 00:00:00,31,Organic,55.72,Location_19,Rejected
64,2023-05-24 00:00:00,15,Organic,427.5,Location_17,Rejected
65,2023-11-30 00:00:00,30,Glass,450.93,Location_6,Rejected
66,2023-12-09 00:00:00,20,Organic,326.41,Location_1,Completed
67,2023-04-09 00:00:00,47,Plastic,148.52,Location_10,Rejected
68,2023-09-06 00:00:00,25,Plastic,482.57,Location_11,Pending
69,2024-01-17 00:00:00,45,Metal,315,Location_16,Completed
70,2023-03-16 00:00:00,96,Paper,132.09,Location_2,Pending
71,2024-02-01 00:00:00,95,Glass,212.12,Location_6,Pending
72,2023-11-12 00:00:00,38,Metal,391.07,Location_9,Completed
73,2024-01-30 00:00:00,47,Metal,89.06,Location_19,Completed
74,2023-04-16 00:00:00,20,Organic,263.48,Location_7,Completed
75,2024-03-11 00:00:00,32,Plastic,349.84,Location_8,Pending
76,2023-11-16 00:00:00,86,Plastic,293.57,Location_14,Rejected
77,2023-05-21 00:00:00,3,Plastic,381.02,Location_8,Completed
78,2023-09-10 00:00:00,13,Metal,218.58,Location_1,Completed
79,2023-05-22 00:00:00,76,Plastic,250.75,Location_4,Rejected
80,2024-03-01 00:00:00,91,Plastic,467.3,Location_1,Rejected
81,2023-10-13 00:00:00,27,Organic,202.8,Location_2,Rejected
82,2023-06-04 00:00:00,53,Metal,25.19,Location_10,Rejected
83,2023-09-04 00:00:00,7,Glass,392.52,Location_16,Rejected
84,2023-09-12 00:00:00,21,Organic,332.3,Location_12,Completed
85,2023-05-23 00:00:00,13,Organic,307.45,Location_19,Pending
86,2023-03-06 00:00:00,93,Organic,400.57,Location_4,Completed
87,2023-12-17 00:00:00,34,Paper,38.93,Location_19,Pending
88,2024-03-26 00:00:00,2,Organic,326.48,Location_12,Rejected
89,2023-03-11 00:00:00,5,Glass,25.48,Location_11,Pending
90,2023-04-04 00:00:00,85,Plastic,343.1,Location_6,Completed
91,2023-06-13 00:00:00,35,Metal,142,Location_20,Rejected
92,2023-02-07 00:00:00,9,Plastic,347.35,Location_5,Rejected
93,2024-01-22 00:00:00,80,Glass,331.52,Location_7,Rejected
94,2023-07-21 00:00:00,86,Glass,121.19,Location_20,Completed
95,2023-07-14 00:00:00,70,Paper,388.54,Location_2,Rejected
96,2024-02-12 00:00:00,82,Metal,201.84,Location_13,Pending
97,2023-02-27 00:00:00,10,Metal,395.88,Location_10,Rejected
98,2023-04-27 00:00:00,98,Organic,379.2,Location_17,Rejected
99,2023-09-15 00:00:00,26,Metal,450.9,Location_1,Pending
100,2023-01-27 00:00:00,14,Glass,349.13,Location_8,Pending
101,2023-02-14 00:00:00,39,Glass,488.22,Location_14,Rejected
102,2024-01-21 00:00:00,55,Plastic,232.2,Location_16,Rejected
103,2024-02-03 00:00:00,51,Glass,402.25,Location_10,Pending
104,2024-01-01 00:00:00,96,Glass,176.19,Location_1,Pending
105,2024-01-11 00:00:00,26,Plastic,237.8,Location_13,Rejected
106,2023-04-15 00:00:00,27,Metal,274,Location_16,Rejected
107,2023-07-14 00:00:00,61,Glass,320.68,Location_9,Rejected
108,2024-01-29 00:00:00,47,Metal,327.71,Location_3,Rejected
109,2024-03-02 00:00:00,19,Organic,55.12,Location_19,Completed
110,2023-06-22 00:00:00,12,Metal,192.52,Location_6,Pending
111,2024-03-21 00:00:00,16,Glass,33.08,Location_19,Pending
112,2023-05-31 00:00:00,55,Glass,379.83,Location_11,Completed
113,2023-01-30 00:00:00,30,Metal,355.5,Location_6,Rejected
114,2023-08-27 00:00:00,38,Glass,198.11,Location_15,Rejected
115,2023-01-19 00:00:00,55,Organic,340.45,Location_8,Rejected
116,2024-02-21 00:00:00,50,Plastic,92.35,Location_2,Pending
117,2023-01-02 00:00:00,72,Metal,130.8,Location_12,Pending
118,2023-09-15 00:00:00,82,Organic,183.93,Location_18,Rejected
119,2023-06-21 00:00:00,87,Paper,471.34,Location_17,Rejected
120,2023-06-09 00:00:00,68,Metal,448.71,Location_17,Rejected
121,2023-10-25 00:00:00,81,Plastic,394.99,Location_5,Pending
122,2023-04-05 00:00:00,97,Plastic,26.67,Location_12,Rejected
123,2023-06-09 00:00:00,15,Organic,18.22,Location_7,Completed
124,2023-06-10 00:00:00,23,Organic,34.44,Location_3,Pending
125,2023-07-04 00:00:00,64,Paper,65.6,Location_19,Pending
126,2023-12-05 00:00:00,83,Paper,466.42,Location_13,Rejected
127,2023-06-25 00:00:00,92,Plastic,464.62,Location_5,Pending
128,2023-10-21 00:00:00,29,Paper,148.79,Location_15,Rejected
129,2023-08-07 00:00:00,30,Glass,148.91,Location_16,Pending
130,2023-06-28 00:00:00,71,Plastic,63.65,Location_15,Pending
131,2024-01-18 00:00:00,98,Glass,320.26,Location_20,Rejected
132,2023-08-23 00:00:00,55,Glass,240.94,Location_6,Completed
133,2023-12-05 00:00:00,79,Paper,412.5,Location_3,Completed
134,2024-01-21 00:00:00,66,Metal,295.37,Location_20,Completed
135,2023-02-21 00:00:00,6,Paper,59.62,Location_9,Rejected
136,2023-10-02 00:00:00,28,Paper,430.94,Location_2,Rejected
137,2023-07-17 00:00:00,61,Organic,279.76,Location_4,Pending
138,2023-03-09 00:00:00,84,Organic,41.67,Location_10,Rejected
139,2023-12-24 00:00:00,63,Metal,406.38,Location_9,Rejected
140,2023-09-07 00:00:00,34,Glass,407.26,Location_10,Rejected
141,2023-11-08 00:00:00,79,Paper,325.95,Location_8,Rejected
142,2023-06-16 00:00:00,11,Plastic,103.08,Location_16,Pending
143,2023-08-28 00:00:00,2,Metal,363.72,Location_4,Pending
144,2023-07-20 00:00:00,70,Plastic,309.85,Location_18,Rejected
145,2023-09-29 00:00:00,33,Organic,68.59,Location_7,Rejected
146,2024-01-12 00:00:00,85,Glass,53.38,Location_6,Rejected
147,2023-08-13 00:00:00,59,Organic,483.46,Location_6,Completed
148,2024-01-29 00:00:00,64,Paper,68.3,Location_13,Pending
149,2023-07-28 00:00:00,60,Organic,60.43,Location_8,Completed
150,2024-02-29 00:00:00,7,Organic,421.36,Location_7,Pending
151,2023-08-28 00:00:00,80,Paper,238.94,Location_16,Rejected
152,2023-11-28 00:00:00,70,Glass,38.8,Location_18,Rejected
153,2024-01-17 00:00:00,100,Plastic,88.44,Location_10,Pending
154,2023-08-04 00:00:00,2,Paper,93.98,Location_14,Completed
155,2024-03-07 00:00:00,50,Paper,203.93,Location_12,Rejected
156,2023-11-19 00:00:00,31,Paper,272.24,Location_18,Completed
157,2024-01-07 00:00:00,33,Paper,101.95,Location_5,Completed
158,2024-01-28 00:00:00,21,Plastic,77.14,Location_8,Completed
159,2023-09-09 00:00:00,16,Paper,388.14,Location_4,Completed
160,2023-03-12 00:00:00,5,Plastic,381.34,Location_16,Pending
161,2023-05-19 00:00:00,66,Paper,252.17,Location_8,Pending
162,2023-01-11 00:00:00,29,Glass,242.27,Location_4,Pending
163,2023-09-11 00:00:00,17,Plastic,428.48,Location_17,Pending
164,2023-09-13 00:00:00,68,Paper,204.68,Location_10,Pending
165,2023-08-12 00:00:00,44,Metal,350.42,Location_8,Completed
166,2023-02-27 00:00:00,59,Paper,420.73,Location_14,Completed
167,2024-03-07 00:00:00,71,Paper,468.15,Location_8,Rejected
168,2024-03-05 00:00:00,47,Metal,379.41,Location_20,Pending
169,2023-06-21 00:00:00,83,Glass,67.26,Location_13,Rejected
