inward_id,date,user_id,material_type,quantity,vendor,status
1,2023-08-28 00:00:00,92,Plastic,356.79,Vendor_22,Pending
2,2024-02-05 00:00:00,6,Paper,398.45,Vendor_18,Completed
3,2023-05-25 00:00:00,27,Paper,408.24,Vendor_7,Rejected
4,2023-04-09 00:00:00,36,Organic,324.76,Vendor_17,Pending
5,2023-06-09 00:00:00,74,Paper,442.57,Vendor_47,Completed
6,2023-08-20 00:00:00,37,Metal,233.36,Vendor_10,Rejected
7,2023-11-13 00:00:00,91,Paper,261.16,Vendor_2,Pending
8,2024-01-02 00:00:00,11,Organic,306.75,Vendor_2,Completed
9,2024-01-08 00:00:00,59,Organic,140.88,Vendor_31,Rejected
10,2023-09-02 00:00:00,27,Plastic,56.33,Vendor_5,Pending
11,2023-10-15 00:00:00,45,Metal,429.63,Vendor_4,Completed
12,2023-06-02 00:00:00,85,Paper,206.33,Vendor_1,Completed
13,2023-01-05 00:00:00,50,Plastic,79.51,Vendor_42,Completed
14,2024-01-20 00:00:00,69,Organic,488.34,Vendor_36,Completed
15,2024-03-16 00:00:00,34,Paper,437.22,Vendor_33,Completed
16,2023-08-24 00:00:00,16,Glass,458.62,Vendor_13,Rejected
17,2023-03-08 00:00:00,75,Metal,148.54,Vendor_50,Pending
18,2023-05-28 00:00:00,29,Glass,183.41,Vendor_36,Rejected
19,2023-06-15 00:00:00,70,Plastic,82.57,Vendor_26,Completed
20,2024-02-05 00:00:00,70,Paper,286.42,Vendor_32,Completed
21,2023-06-07 00:00:00,58,Organic,198.16,Vendor_49,Completed
22,2023-02-12 00:00:00,20,Organic,168.65,Vendor_39,Completed
23,2023-03-18 00:00:00,57,Plastic,135.77,Vendor_33,Completed
24,2023-06-27 00:00:00,36,Paper,494.46,Vendor_15,Pending
25,2023-09-21 00:00:00,2,Metal,234.09,Vendor_27,Completed
26,2023-01-16 00:00:00,64,Glass,351.32,Vendor_25,Pending
27,2023-06-20 00:00:00,18,Organic,273.4,Vendor_17,Rejected
28,2023-07-04 00:00:00,56,Paper,27.56,Vendor_26,Pending
29,2023-01-04 00:00:00,82,Paper,458.42,Vendor_21,Pending
