segregation_id,date,user_id,material_type,processed_qty,remaining_qty,status
1,2023-01-06 00:00:00,17,Glass,240.528,60.132,Rejected
2,2023-08-21 00:00:00,65,Metal,121.944,30.486,Rejected
3,2023-11-29 00:00:00,77,Metal,219.24,54.81,Completed
4,2023-02-03 00:00:00,77,Plastic,40.536,10.134,Pending
5,2023-02-16 00:00:00,30,Plastic,50.408,12.602,Rejected
6,2024-02-26 00:00:00,63,Glass,246.952,61.738,Pending
7,2023-02-24 00:00:00,22,Organic,108.856,27.214,Pending
8,2023-04-26 00:00:00,27,Metal,176.472,44.118,Pending
9,2023-03-04 00:00:00,3,Metal,83.096,20.774,Completed
10,2024-03-10 00:00:00,93,Paper,136.928,34.232,Pending
11,2023-08-27 00:00:00,43,Glass,268.824,67.206,Completed
12,2024-03-20 00:00:00,45,Metal,236.776,59.194,Rejected
13,2023-05-01 00:00:00,76,Organic,392.544,98.136,Rejected
14,2023-04-05 00:00:00,82,Glass,61.192,15.298,Completed
15,2023-03-03 00:00:00,29,Paper,156.792,39.198,Pending
16,2023-08-11 00:00:00,20,Metal,272.056,68.014,Rejected
17,2024-03-05 00:00:00,38,Glass,268.52,67.13,Pending
18,2023-02-02 00:00:00,95,Organic,122.944,30.736,Rejected
19,2023-11-14 00:00:00,44,Organic,42.944,10.736,Completed
20,2023-08-22 00:00:00,68,Paper,262.808,65.702,Completed
21,2023-07-26 00:00:00,42,Paper,49.376,12.344,Rejected
22,2023-12-01 00:00:00,4,Metal,132.968,33.242,Completed
23,2023-04-27 00:00:00,89,Paper,117.304,29.326,Rejected
24,2023-07-29 00:00:00,37,Paper,118,29.5,Pending
25,2023-05-25 00:00:00,31,Metal,157.648,39.412,Pending
26,2023-10-15 00:00:00,58,Paper,335.856,83.964,Rejected
27,2023-05-09 00:00:00,40,Organic,265.168,66.292,Completed
28,2024-02-24 00:00:00,76,Organic,41.656,10.414,Pending
29,2023-01-20 00:00:00,58,Paper,95.208,23.802,Pending
30,2024-01-15 00:00:00,62,Plastic,60.2,15.05,Rejected
31,2023-01-06 00:00:00,51,Organic,292.2,73.05,Pending
32,2023-12-10 00:00:00,84,Metal,12.304,3.076,Completed
33,2023-03-31 00:00:00,51,Glass,234.04,58.51,Pending
34,2024-01-16 00:00:00,40,Plastic,158.176,39.544,Completed
35,2024-03-12 00:00:00,68,Metal,226.648,56.662,Pending
36,2023-01-31 00:00:00,44,Plastic,25.2,6.3,Completed
37,2023-12-03 00:00:00,29,Paper,348.416,87.104,Rejected
